id,task_id,instruction,exe_status,robot_id,box_code,lattice_code,create_time,execute_time,update_time,robot_type
75852,44111,GO_FETCHING_BOX,COMPLETED,5211166,B003953,00400517,2021-12-21 10:37:14.182,2021-12-21 10:37:14.182,2021-12-21 10:37:23.891,RS5-D
75853,44109,GO_RETURN_BOX,COMPLETED,5211169,B003951,1035124001,2021-12-21 10:37:21.332,2021-12-21 10:37:21.332,2021-12-21 10:37:24.716,RS5-D
75843,44104,GO_SOMEWHERE,CANCELED,5211163,,,2021-12-21 10:36:54.991,2021-12-21 10:36:54.991,2021-12-21 10:37:25.222,RS5-D
75842,44104,GO_SOMEWHERE,CANCELED,5211163,,,2021-12-21 10:36:54.991,2021-12-21 10:36:54.991,2021-12-21 10:37:25.739,RS5-D
75847,44108,GO_SOMEWHERE,CANCELED,5211168,B003955,1010125501,2021-12-21 10:36:55.920,2021-12-21 10:36:55.920,2021-12-21 10:37:26.147,RS5-D
75856,44104,GO_SOMEWHERE,COMPLETED,5211163,,,2021-12-21 10:37:25.532,2021-12-21 10:37:25.532,2021-12-21 10:37:27.765,RS5-D
75854,44111,GO_RETURN_BOX,COMPLETED,5211166,B003953,1060107001,2021-12-21 10:37:23.994,2021-12-21 10:37:23.994,2021-12-21 10:37:30.522,RS5-D
75846,44108,GO_RETURN_BOX,COMPLETED,5211168,B003955,1010125501,2021-12-21 10:36:55.921,2021-12-21 10:36:55.921,2021-12-21 10:37:32.135,RS5-D
75859,44114,GO_SOMEWHERE,CANCELED,5211166,,,2021-12-21 10:37:36.413,2021-12-21 10:37:36.413,2021-12-21 10:37:40.358,RS5-D
75857,44112,GO_SOMEWHERE,CANCELED,5211169,,,2021-12-21 10:37:30.005,2021-12-21 10:37:30.005,2021-12-21 10:37:40.775,RS5-D
75861,44114,GO_SOMEWHERE,COMPLETED,5211166,,,2021-12-21 10:37:40.150,2021-12-21 10:37:40.150,2021-12-21 10:37:42.205,RS5-D
75863,44112,GO_SOMEWHERE,COMPLETED,5211169,,,2021-12-21 10:37:40.566,2021-12-21 10:37:40.566,2021-12-21 10:37:44.628,RS5-D
75860,44114,GO_SOMEWHERE,CANCELED,5211166,,,2021-12-21 10:37:40.151,2021-12-21 10:37:40.151,2021-12-21 10:37:44.903,RS5-D
75855,44104,GO_SOMEWHERE,CANCELED,5211163,,,2021-12-21 10:37:25.533,2021-12-21 10:37:25.533,2021-12-21 10:37:47.246,RS5-D
75858,44113,GO_SOMEWHERE,CANCELED,5211168,,,2021-12-21 10:37:33.245,2021-12-21 10:37:33.245,2021-12-21 10:37:49.080,RS5-D
75862,44112,GO_SOMEWHERE,COMPLETED,5211169,,,2021-12-21 10:37:40.566,2021-12-21 10:37:40.566,2021-12-21 10:37:50.304,RS5-D
75865,44117,GO_FETCHING_BOX,COMPLETED,5211166,B003959,00500919,2021-12-21 10:37:45.010,2021-12-21 10:37:45.010,2021-12-21 10:37:55.334,RS5-D
75864,44118,GO_FETCHING_BOX,COMPLETED,5211165,B003936,00504201,2021-12-21 10:37:44.782,2021-12-21 10:37:44.782,2021-12-21 10:37:56.354,RS5-D
75867,44116,GO_FETCHING_BOX,COMPLETED,5211168,B004804,00302901,2021-12-21 10:37:49.183,2021-12-21 10:37:49.183,2021-12-21 10:37:57.909,RS5-D
75868,44117,GO_RETURN_BOX,COMPLETED,5211166,B003959,1050106501,2021-12-21 10:37:55.435,2021-12-21 10:37:55.435,2021-12-21 10:38:00.138,RS5-D
75869,44118,GO_RETURN_BOX,COMPLETED,5211165,B003936,1060123501,2021-12-21 10:37:56.481,2021-12-21 10:37:56.481,2021-12-21 10:38:02.956,RS5-D
75866,44115,GO_FETCHING_BOX,COMPLETED,5211163,B004806,00702411,2021-12-21 10:37:47.348,2021-12-21 10:37:47.348,2021-12-21 10:38:03.160,RS5-D
75870,44116,GO_RETURN_BOX,COMPLETED,5211168,B004804,1025116001,2021-12-21 10:37:58.512,2021-12-21 10:37:58.512,2021-12-21 10:38:04.181,RS5-D
